#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS:  60 384
# Band-Index:    1
   0.00000    -21.605676  0.918  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.02822    -21.605665  0.918  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.05645    -21.605637  0.918  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.08467    -21.605589  0.918  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.11290    -21.605525  0.918  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.14112    -21.605445  0.918  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.16935    -21.605351  0.918  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.19757    -21.605248  0.918  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.22579    -21.605137  0.918  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.25402    -21.605021  0.918  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.28224    -21.604903  0.918  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.31047    -21.604786  0.918  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.919
   0.33869    -21.604675  0.919  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.919
   0.36691    -21.604571  0.919  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.919
   0.39514    -21.604478  0.919  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.919
   0.42336    -21.604398  0.919  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.919
   0.45159    -21.604333  0.919  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.919
   0.47981    -21.604284  0.919  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.919
   0.50804    -21.604255  0.919  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.919
   0.53626    -21.604245  0.919  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.919
