#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS:  80 336
# Band-Index:    1
   0.00000    -21.473127  0.916  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.916
   0.02822    -21.473113  0.916  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.916
   0.05645    -21.473072  0.916  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.916
   0.08467    -21.473003  0.916  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.916
   0.11290    -21.472910  0.916  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.916
   0.14112    -21.472795  0.916  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.916
   0.16935    -21.472660  0.916  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.916
   0.19757    -21.472510  0.916  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.916
   0.22579    -21.472349  0.916  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.916
   0.25402    -21.472180  0.916  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.916
   0.28224    -21.472010  0.916  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.31047    -21.471841  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.33869    -21.471679  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.36691    -21.471529  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.39514    -21.471392  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.42336    -21.471274  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.45159    -21.471180  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.47981    -21.471111  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.50804    -21.471070  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.53626    -21.471058  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.53626    -21.471058  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.55622    -21.471056  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.57617    -21.471055  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.59613    -21.471054  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.61609    -21.471054  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.63605    -21.471054  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.65600    -21.471054  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.67596    -21.471054  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.69592    -21.471054  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.71588    -21.471054  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.73584    -21.471053  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.75579    -21.471052  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.77575    -21.471051  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.79571    -21.471051  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.81567    -21.471049  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.83562    -21.471049  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.85558    -21.471049  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.87554    -21.471049  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.89550    -21.471049  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.91545    -21.471048  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.91545    -21.471048  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.94368    -21.471063  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.97190    -21.471105  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   1.00013    -21.471175  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   1.02835    -21.471269  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   1.05657    -21.471386  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   1.08480    -21.471520  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   1.11302    -21.471672  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   1.14125    -21.471833  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   1.16947    -21.472001  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   1.19769    -21.472172  0.916  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   1.22592    -21.472340  0.916  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.916
   1.25414    -21.472500  0.916  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.916
   1.28237    -21.472650  0.916  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.916
   1.31059    -21.472784  0.916  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.916
   1.33882    -21.472899  0.916  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.916
   1.36704    -21.472991  0.916  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.916
   1.39526    -21.473058  0.916  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.916
   1.42349    -21.473099  0.916  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.916
   1.45171    -21.473114  0.916  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.916
