#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS:  80 384
# Band-Index:    1
   0.00000    -23.025728  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.02822    -23.025715  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.05645    -23.025674  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.08467    -23.025606  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.11290    -23.025514  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.14112    -23.025400  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.16935    -23.025266  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.19757    -23.025118  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.22579    -23.024959  0.917  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.917
   0.25402    -23.024792  0.918  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.28224    -23.024624  0.918  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.31047    -23.024457  0.918  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.33869    -23.024297  0.918  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.36691    -23.024149  0.918  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.39514    -23.024014  0.918  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.42336    -23.023898  0.918  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.45159    -23.023806  0.918  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.47981    -23.023738  0.918  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.50804    -23.023697  0.918  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.53626    -23.023686  0.918  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.53626    -23.023686  0.918  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.55622    -23.023684  0.918  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.57617    -23.023682  0.918  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.59613    -23.023681  0.918  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.61609    -23.023680  0.918  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.63605    -23.023679  0.918  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
   0.65600    -23.023677  0.918  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.918
