#K-Path          Energy     s    p    d    tot
# NKPTS & NBANDS:  60 192
# Band-Index:    1
   0.00000    -21.478814  0.918  0.000  0.000  0.918
   0.02822    -21.478803  0.918  0.000  0.000  0.918
   0.05645    -21.478775  0.918  0.000  0.000  0.918
   0.08467    -21.478727  0.918  0.000  0.000  0.918
   0.11290    -21.478661  0.918  0.000  0.000  0.918
   0.14112    -21.478581  0.918  0.000  0.000  0.918
   0.16935    -21.478487  0.918  0.000  0.000  0.918
   0.19757    -21.478383  0.918  0.000  0.000  0.918
   0.22579    -21.478271  0.918  0.000  0.000  0.918
   0.25402    -21.478155  0.918  0.000  0.000  0.918
   0.28224    -21.478037  0.918  0.000  0.000  0.918
   0.31047    -21.477919  0.918  0.000  0.000  0.918
   0.33869    -21.477808  0.918  0.000  0.000  0.918
   0.36691    -21.477704  0.918  0.000  0.000  0.918
   0.39514    -21.477610  0.918  0.000  0.000  0.918
   0.42336    -21.477531  0.918  0.000  0.000  0.918
   0.45159    -21.477466  0.918  0.000  0.000  0.918
   0.47981    -21.477418  0.918  0.000  0.000  0.918
   0.50804    -21.477388  0.918  0.000  0.000  0.918
   0.53626    -21.477379  0.918  0.000  0.000  0.918
   0.53626    -21.477379  0.918  0.000  0.000  0.918
   0.56448    -21.477370  0.918  0.000  0.000  0.918
   0.59271    -21.477344  0.918  0.000  0.000  0.918
   0.62093    -21.477301  0.918  0.000  0.000  0.918
   0.64916    -21.477244  0.918  0.000  0.000  0.918
   0.67738    -21.477173  0.918  0.000  0.000  0.918
   0.70561    -21.477089  0.918  0.000  0.000  0.919
   0.73383    -21.476995  0.919  0.000  0.000  0.919
   0.76205    -21.476895  0.919  0.000  0.000  0.919
   0.79028    -21.476790  0.919  0.000  0.000  0.919
   0.81850    -21.476683  0.919  0.000  0.000  0.919
   0.84673    -21.476578  0.919  0.000  0.000  0.919
   0.87495    -21.476477  0.919  0.000  0.000  0.919
   0.90317    -21.476383  0.919  0.000  0.000  0.919
   0.93140    -21.476298  0.919  0.000  0.000  0.919
   0.95962    -21.476226  0.919  0.000  0.000  0.919
   0.98785    -21.476167  0.919  0.000  0.000  0.919
   1.01607    -21.476123  0.919  0.000  0.000  0.919
   1.04430    -21.476096  0.919  0.000  0.000  0.919
   1.07252    -21.476087  0.919  0.000  0.000  0.919
   1.07252    -21.476087  0.919  0.000  0.000  0.919
   1.11243    -21.476106  0.919  0.000  0.000  0.919
   1.15235    -21.476158  0.919  0.000  0.000  0.919
   1.19226    -21.476246  0.919  0.000  0.000  0.919
   1.23218    -21.476365  0.919  0.000  0.000  0.919
   1.27209    -21.476511  0.919  0.000  0.000  0.919
