#K-Path          Energy     s    p    d    tot
# NKPTS & NBANDS:  60 192
# Band-Index:    1
   0.00000    -21.223058  0.000  0.000  0.000  0.000
   0.02822    -21.223049  0.000  0.000  0.000  0.000
   0.05645    -21.223029  0.000  0.000  0.000  0.000
   0.08467    -21.222993  0.000  0.000  0.000  0.000
   0.11290    -21.222946  0.000  0.000  0.000  0.000
   0.14112    -21.222887  0.000  0.000  0.000  0.000
   0.16935    -21.222818  0.000  0.000  0.000  0.000
   0.19757    -21.222742  0.000  0.000  0.000  0.000
   0.22579    -21.222660  0.000  0.000  0.000  0.000
   0.25402    -21.222575  0.000  0.000  0.000  0.000
   0.28224    -21.222489  0.000  0.000  0.000  0.000
   0.31047    -21.222403  0.000  0.000  0.000  0.000
   0.33869    -21.222322  0.000  0.000  0.000  0.000
   0.36691    -21.222246  0.000  0.000  0.000  0.000
   0.39514    -21.222178  0.000  0.000  0.000  0.000
   0.42336    -21.222120  0.000  0.000  0.000  0.000
   0.45159    -21.222072  0.000  0.000  0.000  0.000
   0.47981    -21.222037  0.000  0.000  0.000  0.000
   0.50804    -21.222016  0.000  0.000  0.000  0.000
   0.53626    -21.222009  0.000  0.000  0.000  0.000
   0.53626    -21.222009  0.000  0.000  0.000  0.000
   0.56448    -21.222003  0.000  0.000  0.000  0.000
   0.59271    -21.221985  0.000  0.000  0.000  0.000
   0.62093    -21.221956  0.000  0.000  0.000  0.000
   0.64916    -21.221917  0.000  0.000  0.000  0.000
   0.67738    -21.221869  0.000  0.000  0.000  0.000
   0.70561    -21.221812  0.000  0.000  0.000  0.000
   0.73383    -21.221748  0.000  0.000  0.000  0.000
   0.76205    -21.221680  0.000  0.000  0.000  0.000
   0.79028    -21.221608  0.000  0.000  0.000  0.000
   0.81850    -21.221536  0.000  0.000  0.000  0.000
   0.84673    -21.221465  0.000  0.000  0.000  0.000
   0.87495    -21.221396  0.000  0.000  0.000  0.000
   0.90317    -21.221332  0.000  0.000  0.000  0.000
   0.93140    -21.221274  0.000  0.000  0.000  0.000
   0.95962    -21.221225  0.000  0.000  0.000  0.000
   0.98785    -21.221185  0.000  0.000  0.000  0.000
   1.01607    -21.221154  0.000  0.000  0.000  0.000
   1.04430    -21.221136  0.000  0.000  0.000  0.000
   1.07252    -21.221129  0.000  0.000  0.000  0.000
   1.07252    -21.221129  0.000  0.000  0.000  0.000
   1.11243    -21.221142  0.000  0.000  0.000  0.000
   1.15235    -21.221177  0.000  0.000  0.000  0.000
   1.19226    -21.221238  0.000  0.000  0.000  0.000
   1.23218    -21.221320  0.000  0.000  0.000  0.000
   1.27209    -21.221421  0.000  0.000  0.000  0.000
   1.31201    -21.221540  0.000  0.000  0.000  0.000
   1.35192    -21.221673  0.000  0.000  0.000  0.000
   1.39184    -21.221819  0.000  0.000  0.000  0.000
   1.43176    -21.221973  0.000  0.000  0.000  0.000
   1.47167    -21.222131  0.000  0.000  0.000  0.000
   1.51159    -21.222291  0.000  0.000  0.000  0.000
   1.55150    -21.222445  0.000  0.000  0.000  0.000
   1.59142    -21.222591  0.000  0.000  0.000  0.000
   1.63133    -21.222722  0.000  0.000  0.000  0.000
   1.67125    -21.222835  0.000  0.000  0.000  0.000
   1.71116    -21.222930  0.000  0.000  0.000  0.000
   1.75108    -21.223000  0.000  0.000  0.000  0.000
   1.79099    -21.223042  0.000  0.000  0.000  0.000
   1.83091    -21.223058  0.000  0.000  0.000  0.000
 
# Band-Index:    2
   1.83091    -21.178008  0.000  0.000  0.000  0.000
   1.79099    -21.177991  0.000  0.000  0.000  0.000
   1.75108    -21.177946  0.000  0.000  0.000  0.000
   1.71116    -21.177871  0.000  0.000  0.000  0.000
   1.67125    -21.177771  0.000  0.000  0.000  0.000
   1.63133    -21.177651  0.000  0.000  0.000  0.000
   1.59142    -21.177512  0.000  0.000  0.000  0.000
