#K-Path          Energy     s    p    d    tot
# NKPTS & NBANDS:  80 176
# Band-Index:    1
   0.00000    -21.020425  0.000  0.000  0.000  0.000
   0.02822    -21.020419  0.000  0.000  0.000  0.000
   0.05645    -21.020400  0.000  0.000  0.000  0.000
   0.08467    -21.020367  0.000  0.000  0.000  0.000
   0.11290    -21.020323  0.000  0.000  0.000  0.000
   0.14112    -21.020269  0.000  0.000  0.000  0.000
   0.16935    -21.020206  0.000  0.000  0.000  0.000
   0.19757    -21.020135  0.000  0.000  0.000  0.000
   0.22579    -21.020060  0.000  0.000  0.000  0.000
   0.25402    -21.019982  0.000  0.000  0.000  0.000
   0.28224    -21.019902  0.000  0.000  0.000  0.000
   0.31047    -21.019824  0.000  0.000  0.000  0.000
   0.33869    -21.019749  0.000  0.000  0.000  0.000
   0.36691    -21.019679  0.000  0.000  0.000  0.000
   0.39514    -21.019614  0.000  0.000  0.000  0.000
   0.42336    -21.019559  0.000  0.000  0.000  0.000
   0.45159    -21.019516  0.000  0.000  0.000  0.000
   0.47981    -21.019484  0.000  0.000  0.000  0.000
   0.50804    -21.019465  0.000  0.000  0.000  0.000
   0.53626    -21.019462  0.000  0.000  0.000  0.000
   0.53626    -21.019462  0.000  0.000  0.000  0.000
   0.55622    -21.019459  0.000  0.000  0.000  0.000
   0.57617    -21.019457  0.000  0.000  0.000  0.000
   0.59613    -21.019455  0.000  0.000  0.000  0.000
   0.61609    -21.019454  0.000  0.000  0.000  0.000
   0.63605    -21.019452  0.000  0.000  0.000  0.000
   0.65600    -21.019449  0.000  0.000  0.000  0.000
   0.67596    -21.019447  0.000  0.000  0.000  0.000
   0.69592    -21.019444  0.000  0.000  0.000  0.000
   0.71588    -21.019441  0.000  0.000  0.000  0.000
   0.73584    -21.019437  0.000  0.000  0.000  0.000
   0.75579    -21.019433  0.000  0.000  0.000  0.000
   0.77575    -21.019429  0.000  0.000  0.000  0.000
   0.79571    -21.019426  0.000  0.000  0.000  0.000
   0.81567    -21.019422  0.000  0.000  0.000  0.000
   0.83562    -21.019419  0.000  0.000  0.000  0.000
   0.85558    -21.019417  0.000  0.000  0.000  0.000
   0.87554    -21.019417  0.000  0.000  0.000  0.000
   0.89550    -21.019416  0.000  0.000  0.000  0.000
   0.91545    -21.019415  0.000  0.000  0.000  0.000
   0.91545    -21.019415  0.000  0.000  0.000  0.000
   0.94368    -21.019422  0.000  0.000  0.000  0.000
   0.97190    -21.019441  0.000  0.000  0.000  0.000
   1.00013    -21.019473  0.000  0.000  0.000  0.000
   1.02835    -21.019517  0.000  0.000  0.000  0.000
   1.05657    -21.019571  0.000  0.000  0.000  0.000
   1.08480    -21.019633  0.000  0.000  0.000  0.000
   1.11302    -21.019704  0.000  0.000  0.000  0.000
   1.14125    -21.019778  0.000  0.000  0.000  0.000
   1.16947    -21.019856  0.000  0.000  0.000  0.000
   1.19769    -21.019935  0.000  0.000  0.000  0.000
   1.22592    -21.020013  0.000  0.000  0.000  0.000
   1.25414    -21.020087  0.000  0.000  0.000  0.000
   1.28237    -21.020157  0.000  0.000  0.000  0.000
   1.31059    -21.020219  0.000  0.000  0.000  0.000
   1.33882    -21.020273  0.000  0.000  0.000  0.000
   1.36704    -21.020315  0.000  0.000  0.000  0.000
   1.39526    -21.020346  0.000  0.000  0.000  0.000
   1.42349    -21.020365  0.000  0.000  0.000  0.000
   1.45171    -21.020372  0.000  0.000  0.000  0.000
   1.45171    -21.020372  0.000  0.000  0.000  0.000
   1.47167    -21.020372  0.000  0.000  0.000  0.000
   1.49163    -21.020374  0.000  0.000  0.000  0.000
   1.51159    -21.020376  0.000  0.000  0.000  0.000
   1.53154    -21.020379  0.000  0.000  0.000  0.000
   1.55150    -21.020382  0.000  0.000  0.000  0.000
   1.57146    -21.020385  0.000  0.000  0.000  0.000
   1.59142    -21.020389  0.000  0.000  0.000  0.000
   1.61137    -21.020393  0.000  0.000  0.000  0.000
   1.63133    -21.020397  0.000  0.000  0.000  0.000
   1.65129    -21.020402  0.000  0.000  0.000  0.000
   1.67125    -21.020406  0.000  0.000  0.000  0.000
   1.69120    -21.020410  0.000  0.000  0.000  0.000
   1.71116    -21.020414  0.000  0.000  0.000  0.000
   1.73112    -21.020417  0.000  0.000  0.000  0.000
   1.75108    -21.020420  0.000  0.000  0.000  0.000
   1.77103    -21.020422  0.000  0.000  0.000  0.000
   1.79099    -21.020424  0.000  0.000  0.000  0.000
   1.81095    -21.020425  0.000  0.000  0.000  0.000
   1.83091    -21.020425  0.000  0.000  0.000  0.000
 
# Band-Index:    2
   1.83091    -20.857565  0.000  0.000  0.000  0.000
   1.81095    -20.857565  0.000  0.000  0.000  0.000
   1.79099    -20.857564  0.000  0.000  0.000  0.000
   1.77103    -20.857562  0.000  0.000  0.000  0.000
   1.75108    -20.857560  0.000  0.000  0.000  0.000
   1.73112    -20.857557  0.000  0.000  0.000  0.000
   1.71116    -20.857553  0.000  0.000  0.000  0.000
   1.69120    -20.857549  0.000  0.000  0.000  0.000
   1.67125    -20.857544  0.000  0.000  0.000  0.000
   1.65129    -20.857540  0.000  0.000  0.000  0.000
   1.63133    -20.857535  0.000  0.000  0.000  0.000
   1.61137    -20.857531  0.000  0.000  0.000  0.000
   1.59142    -20.857527  0.000  0.000  0.000  0.000
   1.57146    -20.857522  0.000  0.000  0.000  0.000
   1.55150    -20.857519  0.000  0.000  0.000  0.000
   1.53154    -20.857515  0.000  0.000  0.000  0.000
   1.51159    -20.857513  0.000  0.000  0.000  0.000
   1.49163    -20.857510  0.000  0.000  0.000  0.000
   1.47167    -20.857509  0.000  0.000  0.000  0.000
   1.45171    -20.857509  0.000  0.000  0.000  0.000
   1.45171    -20.857509  0.000  0.000  0.000  0.000
   1.42349    -20.857499  0.000  0.000  0.000  0.000
   1.39526    -20.857473  0.000  0.000  0.000  0.000
   1.36704    -20.857431  0.000  0.000  0.000  0.000
   1.33882    -20.857372  0.000  0.000  0.000  0.000
   1.31059    -20.857299  0.000  0.000  0.000  0.000
   1.28237    -20.857214  0.000  0.000  0.000  0.000
   1.25414    -20.857119  0.000  0.000  0.000  0.000
   1.22592    -20.857017  0.000  0.000  0.000  0.000
   1.19769    -20.856910  0.000  0.000  0.000  0.000
   1.16947    -20.856802  0.000  0.000  0.000  0.000
   1.14125    -20.856696  0.000  0.000  0.000  0.000
   1.11302    -20.856594  0.000  0.000  0.000  0.000
   1.08480    -20.856497  0.000  0.000  0.000  0.000
   1.05657    -20.856413  0.000  0.000  0.000  0.000
   1.02835    -20.856339  0.000  0.000  0.000  0.000
   1.00013    -20.856279  0.000  0.000  0.000  0.000
   0.97190    -20.856235  0.000  0.000  0.000  0.000
   0.94368    -20.856209  0.000  0.000  0.000  0.000
   0.91545    -20.856200  0.000  0.000  0.000  0.000
   0.91545    -20.856200  0.000  0.000  0.000  0.000
   0.89550    -20.856200  0.000  0.000  0.000  0.000
   0.87554    -20.856201  0.000  0.000  0.000  0.000
   0.85558    -20.856202  0.000  0.000  0.000  0.000
   0.83562    -20.856204  0.000  0.000  0.000  0.000
   0.81567    -20.856207  0.000  0.000  0.000  0.000
   0.79571    -20.856211  0.000  0.000  0.000  0.000
   0.77575    -20.856214  0.000  0.000  0.000  0.000
   0.75579    -20.856218  0.000  0.000  0.000  0.000
   0.73584    -20.856222  0.000  0.000  0.000  0.000
   0.71588    -20.856227  0.000  0.000  0.000  0.000
   0.69592    -20.856230  0.000  0.000  0.000  0.000
   0.67596    -20.856233  0.000  0.000  0.000  0.000
   0.65600    -20.856236  0.000  0.000  0.000  0.000
   0.63605    -20.856239  0.000  0.000  0.000  0.000
   0.61609    -20.856241  0.000  0.000  0.000  0.000
   0.59613    -20.856243  0.000  0.000  0.000  0.000
   0.57617    -20.856245  0.000  0.000  0.000  0.000
   0.55622    -20.856247  0.000  0.000  0.000  0.000
   0.53626    -20.856249  0.000  0.000  0.000  0.000
   0.53626    -20.856249  0.000  0.000  0.000  0.000
   0.50804    -20.856256  0.000  0.000  0.000  0.000
   0.47981    -20.856281  0.000  0.000  0.000  0.000
   0.45159    -20.856325  0.000  0.000  0.000  0.000
   0.42336    -20.856384  0.000  0.000  0.000  0.000
   0.39514    -20.856459  0.000  0.000  0.000  0.000
   0.36691    -20.856547  0.000  0.000  0.000  0.000
   0.33869    -20.856642  0.000  0.000  0.000  0.000
   0.31047    -20.856745  0.000  0.000  0.000  0.000
   0.28224    -20.856852  0.000  0.000  0.000  0.000
   0.25402    -20.856960  0.000  0.000  0.000  0.000
   0.22579    -20.857068  0.000  0.000  0.000  0.000
   0.19757    -20.857170  0.000  0.000  0.000  0.000
   0.16935    -20.857266  0.000  0.000  0.000  0.000
   0.14112    -20.857353  0.000  0.000  0.000  0.000
   0.11290    -20.857426  0.000  0.000  0.000  0.000
   0.08467    -20.857486  0.000  0.000  0.000  0.000
   0.05645    -20.857530  0.000  0.000  0.000  0.000
   0.02822    -20.857557  0.000  0.000  0.000  0.000
   0.00000    -20.857565  0.000  0.000  0.000  0.000
 
# Band-Index:    3
   0.00000    -20.857084  0.000  0.000  0.000  0.000
   0.02822    -20.857075  0.000  0.000  0.000  0.000
   0.05645    -20.857049  0.000  0.000  0.000  0.000
   0.08467    -20.857004  0.000  0.000  0.000  0.000
   0.11290    -20.856945  0.000  0.000  0.000  0.000
   0.14112    -20.856871  0.000  0.000  0.000  0.000
   0.16935    -20.856785  0.000  0.000  0.000  0.000
   0.19757    -20.856689  0.000  0.000  0.000  0.000
   0.22579    -20.856586  0.000  0.000  0.000  0.000
   0.25402    -20.856479  0.000  0.000  0.000  0.000
   0.28224    -20.856370  0.000  0.000  0.000  0.000
   0.31047    -20.856263  0.000  0.000  0.000  0.000
   0.33869    -20.856160  0.000  0.000  0.000  0.000
   0.36691    -20.856065  0.000  0.000  0.000  0.000
   0.39514    -20.855978  0.000  0.000  0.000  0.000
   0.42336    -20.855903  0.000  0.000  0.000  0.000
   0.45159    -20.855843  0.000  0.000  0.000  0.000
   0.47981    -20.855800  0.000  0.000  0.000  0.000
   0.50804    -20.855774  0.000  0.000  0.000  0.000
   0.53626    -20.855768  0.000  0.000  0.000  0.000
   0.53626    -20.855768  0.000  0.000  0.000  0.000
   0.55622    -20.855766  0.000  0.000  0.000  0.000
   0.57617    -20.855764  0.000  0.000  0.000  0.000
   0.59613    -20.855762  0.000  0.000  0.000  0.000
   0.61609    -20.855760  0.000  0.000  0.000  0.000
   0.63605    -20.855758  0.000  0.000  0.000  0.000
   0.65600    -20.855755  0.000  0.000  0.000  0.000
   0.67596    -20.855752  0.000  0.000  0.000  0.000
   0.69592    -20.855749  0.000  0.000  0.000  0.000
   0.71588    -20.855746  0.000  0.000  0.000  0.000
   0.73584    -20.855741  0.000  0.000  0.000  0.000
   0.75579    -20.855737  0.000  0.000  0.000  0.000
   0.77575    -20.855733  0.000  0.000  0.000  0.000
   0.79571    -20.855730  0.000  0.000  0.000  0.000
   0.81567    -20.855725  0.000  0.000  0.000  0.000
   0.83562    -20.855722  0.000  0.000  0.000  0.000
   0.85558    -20.855721  0.000  0.000  0.000  0.000
   0.87554    -20.855719  0.000  0.000  0.000  0.000
   0.89550    -20.855719  0.000  0.000  0.000  0.000
   0.91545    -20.855718  0.000  0.000  0.000  0.000
   0.91545    -20.855718  0.000  0.000  0.000  0.000
   0.94368    -20.855728  0.000  0.000  0.000  0.000
   0.97190    -20.855753  0.000  0.000  0.000  0.000
   1.00013    -20.855798  0.000  0.000  0.000  0.000
   1.02835    -20.855857  0.000  0.000  0.000  0.000
   1.05657    -20.855931  0.000  0.000  0.000  0.000
