#K-Path          Energy     s    p    d    tot
# NKPTS & NBANDS:  80 184
# Band-Index:    1
   0.00000    -20.596242  0.000  0.000  0.000  0.000
   0.02822    -20.596236  0.000  0.000  0.000  0.000
   0.05645    -20.596216  0.000  0.000  0.000  0.000
   0.08467    -20.596183  0.000  0.000  0.000  0.000
   0.11290    -20.596138  0.000  0.000  0.000  0.000
   0.14112    -20.596083  0.000  0.000  0.000  0.000
   0.16935    -20.596018  0.000  0.000  0.000  0.000
   0.19757    -20.595945  0.000  0.000  0.000  0.000
   0.22579    -20.595868  0.000  0.000  0.000  0.000
   0.25402    -20.595788  0.000  0.000  0.000  0.000
   0.28224    -20.595706  0.000  0.000  0.000  0.000
   0.31047    -20.595626  0.000  0.000  0.000  0.000
   0.33869    -20.595549  0.000  0.000  0.000  0.000
   0.36691    -20.595477  0.000  0.000  0.000  0.000
   0.39514    -20.595411  0.000  0.000  0.000  0.000
   0.42336    -20.595355  0.000  0.000  0.000  0.000
   0.45159    -20.595310  0.000  0.000  0.000  0.000
   0.47981    -20.595277  0.000  0.000  0.000  0.000
   0.50804    -20.595259  0.000  0.000  0.000  0.000
   0.53626    -20.595255  0.000  0.000  0.000  0.000
   0.53626    -20.595255  0.000  0.000  0.000  0.000
   0.55622    -20.595252  0.000  0.000  0.000  0.000
   0.57617    -20.595250  0.000  0.000  0.000  0.000
   0.59613    -20.595248  0.000  0.000  0.000  0.000
   0.61609    -20.595247  0.000  0.000  0.000  0.000
   0.63605    -20.595244  0.000  0.000  0.000  0.000
   0.65600    -20.595242  0.000  0.000  0.000  0.000
   0.67596    -20.595239  0.000  0.000  0.000  0.000
   0.69592    -20.595236  0.000  0.000  0.000  0.000
   0.71588    -20.595233  0.000  0.000  0.000  0.000
   0.73584    -20.595229  0.000  0.000  0.000  0.000
   0.75579    -20.595225  0.000  0.000  0.000  0.000
   0.77575    -20.595221  0.000  0.000  0.000  0.000
   0.79571    -20.595218  0.000  0.000  0.000  0.000
   0.81567    -20.595213  0.000  0.000  0.000  0.000
   0.83562    -20.595211  0.000  0.000  0.000  0.000
   0.85558    -20.595209  0.000  0.000  0.000  0.000
   0.87554    -20.595208  0.000  0.000  0.000  0.000
   0.89550    -20.595207  0.000  0.000  0.000  0.000
