#K-Path          Energy     s    p    d    tot
# NKPTS & NBANDS:  80 192
# Band-Index:    1
   0.00000    -23.343455  0.917  0.000  0.000  0.917
   0.02822    -23.343442  0.917  0.000  0.000  0.917
   0.05645    -23.343400  0.917  0.000  0.000  0.917
   0.08467    -23.343332  0.917  0.000  0.000  0.917
   0.11290    -23.343239  0.917  0.000  0.000  0.917
   0.14112    -23.343124  0.917  0.000  0.000  0.917
   0.16935    -23.342990  0.917  0.000  0.000  0.917
   0.19757    -23.342840  0.917  0.000  0.000  0.917
   0.22579    -23.342680  0.917  0.000  0.000  0.917
   0.25402    -23.342512  0.917  0.000  0.000  0.917
   0.28224    -23.342343  0.917  0.000  0.000  0.917
   0.31047    -23.342175  0.917  0.000  0.000  0.917
   0.33869    -23.342015  0.917  0.000  0.000  0.917
   0.36691    -23.341866  0.917  0.000  0.000  0.917
   0.39514    -23.341730  0.917  0.000  0.000  0.918
   0.42336    -23.341614  0.918  0.000  0.000  0.918
   0.45159    -23.341521  0.918  0.000  0.000  0.918
   0.47981    -23.341452  0.918  0.000  0.000  0.918
   0.50804    -23.341412  0.917  0.000  0.000  0.917
   0.53626    -23.341401  0.918  0.000  0.000  0.918
   0.53626    -23.341401  0.918  0.000  0.000  0.918
   0.55622    -23.341399  0.918  0.000  0.000  0.918
   0.57617    -23.341397  0.918  0.000  0.000  0.918
   0.59613    -23.341395  0.918  0.000  0.000  0.918
   0.61609    -23.341395  0.918  0.000  0.000  0.918
   0.63605    -23.341393  0.918  0.000  0.000  0.918
   0.65600    -23.341392  0.918  0.000  0.000  0.918
   0.67596    -23.341391  0.918  0.000  0.000  0.918
   0.69592    -23.341389  0.918  0.000  0.000  0.918
   0.71588    -23.341387  0.918  0.000  0.000  0.918
   0.73584    -23.341385  0.918  0.000  0.000  0.918
   0.75579    -23.341382  0.918  0.000  0.000  0.918
   0.77575    -23.341380  0.918  0.000  0.000  0.918
   0.79571    -23.341378  0.918  0.000  0.000  0.918
   0.81567    -23.341374  0.918  0.000  0.000  0.918
   0.83562    -23.341373  0.918  0.000  0.000  0.918
   0.85558    -23.341372  0.918  0.000  0.000  0.918
