#K-Path          Energy     s    p    d    tot
# NKPTS & NBANDS:  80 176
# Band-Index:    1
   0.00000    -20.838538  0.000  0.000  0.000  0.000
   0.02822    -20.838531  0.000  0.000  0.000  0.000
   0.05645    -20.838509  0.000  0.000  0.000  0.000
   0.08467    -20.838472  0.000  0.000  0.000  0.000
   0.11290    -20.838422  0.000  0.000  0.000  0.000
   0.14112    -20.838360  0.000  0.000  0.000  0.000
   0.16935    -20.838288  0.000  0.000  0.000  0.000
   0.19757    -20.838209  0.000  0.000  0.000  0.000
   0.22579    -20.838124  0.000  0.000  0.000  0.000
   0.25402    -20.838034  0.000  0.000  0.000  0.000
   0.28224    -20.837944  0.000  0.000  0.000  0.000
   0.31047    -20.837854  0.000  0.000  0.000  0.000
   0.33869    -20.837769  0.000  0.000  0.000  0.000
   0.36691    -20.837690  0.000  0.000  0.000  0.000
   0.39514    -20.837618  0.000  0.000  0.000  0.000
   0.42336    -20.837556  0.000  0.000  0.000  0.000
   0.45159    -20.837507  0.000  0.000  0.000  0.000
   0.47981    -20.837471  0.000  0.000  0.000  0.000
   0.50804    -20.837449  0.000  0.000  0.000  0.000
   0.53626    -20.837445  0.000  0.000  0.000  0.000
   0.53626    -20.837445  0.000  0.000  0.000  0.000
   0.55622    -20.837441  0.000  0.000  0.000  0.000
   0.57617    -20.837435  0.000  0.000  0.000  0.000
   0.59613    -20.837426  0.000  0.000  0.000  0.000
   0.61609    -20.837415  0.000  0.000  0.000  0.000
   0.63605    -20.837400  0.000  0.000  0.000  0.000
   0.65600    -20.837383  0.000  0.000  0.000  0.000
   0.67596    -20.837363  0.000  0.000  0.000  0.000
   0.69592    -20.837340  0.000  0.000  0.000  0.000
   0.71588    -20.837316  0.000  0.000  0.000  0.000
   0.73584    -20.837290  0.000  0.000  0.000  0.000
   0.75579    -20.837263  0.000  0.000  0.000  0.000
   0.77575    -20.837234  0.000  0.000  0.000  0.000
   0.79571    -20.837207  0.000  0.000  0.000  0.000
   0.81567    -20.837178  0.000  0.000  0.000  0.000
   0.83562    -20.837152  0.000  0.000  0.000  0.000
   0.85558    -20.837130  0.000  0.000  0.000  0.000
   0.87554    -20.837113  0.000  0.000  0.000  0.000
   0.89550    -20.837102  0.000  0.000  0.000  0.000
   0.91545    -20.837097  0.000  0.000  0.000  0.000
   0.91545    -20.837097  0.000  0.000  0.000  0.000
   0.94368    -20.837105  0.000  0.000  0.000  0.000
   0.97190    -20.837124  0.000  0.000  0.000  0.000
   1.00013    -20.837158  0.000  0.000  0.000  0.000
   1.02835    -20.837204  0.000  0.000  0.000  0.000
   1.05657    -20.837261  0.000  0.000  0.000  0.000
   1.08480    -20.837326  0.000  0.000  0.000  0.000
   1.11302    -20.837400  0.000  0.000  0.000  0.000
   1.14125    -20.837478  0.000  0.000  0.000  0.000
   1.16947    -20.837559  0.000  0.000  0.000  0.000
   1.19769    -20.837642  0.000  0.000  0.000  0.000
   1.22592    -20.837724  0.000  0.000  0.000  0.000
   1.25414    -20.837802  0.000  0.000  0.000  0.000
   1.28237    -20.837875  0.000  0.000  0.000  0.000
   1.31059    -20.837940  0.000  0.000  0.000  0.000
   1.33882    -20.837996  0.000  0.000  0.000  0.000
   1.36704    -20.838041  0.000  0.000  0.000  0.000
   1.39526    -20.838073  0.000  0.000  0.000  0.000
   1.42349    -20.838093  0.000  0.000  0.000  0.000
   1.45171    -20.838100  0.000  0.000  0.000  0.000
   1.45171    -20.838100  0.000  0.000  0.000  0.000
   1.47167    -20.838105  0.000  0.000  0.000  0.000
   1.49163    -20.838121  0.000  0.000  0.000  0.000
   1.51159    -20.838146  0.000  0.000  0.000  0.000
   1.53154    -20.838176  0.000  0.000  0.000  0.000
   1.55150    -20.838209  0.000  0.000  0.000  0.000
   1.57146    -20.838243  0.000  0.000  0.000  0.000
   1.59142    -20.838279  0.000  0.000  0.000  0.000
   1.61137    -20.838314  0.000  0.000  0.000  0.000
   1.63133    -20.838348  0.000  0.000  0.000  0.000
   1.65129    -20.838381  0.000  0.000  0.000  0.000
   1.67125    -20.838410  0.000  0.000  0.000  0.000
   1.69120    -20.838439  0.000  0.000  0.000  0.000
   1.71116    -20.838465  0.000  0.000  0.000  0.000
   1.73112    -20.838487  0.000  0.000  0.000  0.000
   1.75108    -20.838505  0.000  0.000  0.000  0.000
   1.77103    -20.838519  0.000  0.000  0.000  0.000
   1.79099    -20.838529  0.000  0.000  0.000  0.000
   1.81095    -20.838536  0.000  0.000  0.000  0.000
   1.83091    -20.838538  0.000  0.000  0.000  0.000
 
# Band-Index:    2
   1.83091    -20.837402  0.000  0.000  0.000  0.000
   1.81095    -20.837405  0.000  0.000  0.000  0.000
   1.79099    -20.837409  0.000  0.000  0.000  0.000
