#K-Path          Energy     s    p    d    tot
# NKPTS & NBANDS:  60 200
# Band-Index:    1
   0.00000    -21.675198  0.915  0.000  0.000  0.915
   0.02304    -21.675198  0.915  0.000  0.000  0.915
   0.04609    -21.675199  0.915  0.000  0.000  0.915
   0.06913    -21.675197  0.915  0.000  0.000  0.915
   0.09218    -21.675196  0.915  0.000  0.000  0.915
   0.11522    -21.675196  0.915  0.000  0.000  0.915
   0.13827    -21.675195  0.915  0.000  0.000  0.915
   0.16131    -21.675194  0.915  0.000  0.000  0.915
   0.18436    -21.675194  0.915  0.000  0.000  0.915
   0.20740    -21.675193  0.915  0.000  0.000  0.915
   0.23045    -21.675192  0.915  0.000  0.000  0.915
   0.25349    -21.675191  0.915  0.000  0.000  0.915
   0.27654    -21.675190  0.915  0.000  0.000  0.915
   0.29958    -21.675190  0.915  0.000  0.000  0.915
   0.32263    -21.675189  0.915  0.000  0.000  0.915
   0.34567    -21.675188  0.915  0.000  0.000  0.915
   0.36872    -21.675187  0.915  0.000  0.000  0.915
   0.39176    -21.675187  0.915  0.000  0.000  0.915
   0.41481    -21.675186  0.915  0.000  0.000  0.915
   0.43785    -21.675187  0.915  0.000  0.000  0.915
   0.43785    -21.675187  0.915  0.000  0.000  0.915
   0.45116    -21.675186  0.915  0.000  0.000  0.915
   0.46446    -21.675185  0.915  0.000  0.000  0.915
   0.47777    -21.675186  0.915  0.000  0.000  0.915
   0.49107    -21.675187  0.915  0.000  0.000  0.915
   0.50438    -21.675187  0.915  0.000  0.000  0.915
   0.51768    -21.675187  0.915  0.000  0.000  0.915
   0.53099    -21.675187  0.915  0.000  0.000  0.915
   0.54429    -21.675187  0.915  0.000  0.000  0.915
   0.55760    -21.675187  0.915  0.000  0.000  0.915
   0.57090    -21.675187  0.915  0.000  0.000  0.915
   0.58421    -21.675187  0.915  0.000  0.000  0.915
   0.59751    -21.675188  0.915  0.000  0.000  0.915
   0.61082    -21.675188  0.915  0.000  0.000  0.915
   0.62412    -21.675188  0.915  0.000  0.000  0.915
   0.63743    -21.675187  0.915  0.000  0.000  0.915
   0.65073    -21.675186  0.915  0.000  0.000  0.915
   0.66404    -21.675186  0.915  0.000  0.000  0.915
   0.67734    -21.675186  0.915  0.000  0.000  0.915
   0.69065    -21.675186  0.915  0.000  0.000  0.915
   0.69065    -21.675186  0.915  0.000  0.000  0.915
   0.71726    -21.675185  0.915  0.000  0.000  0.915
   0.74387    -21.675186  0.915  0.000  0.000  0.915
   0.77048    -21.675186  0.915  0.000  0.000  0.915
   0.79709    -21.675187  0.915  0.000  0.000  0.915
   0.82370    -21.675187  0.915  0.000  0.000  0.915
