#K-Path          Energy     s    p    d    tot
# NKPTS & NBANDS:  60 200
# Band-Index:    1
   0.00000    -20.786413  0.000  0.000  0.000  0.000
   0.02304    -20.786411  0.000  0.000  0.000  0.000
   0.04609    -20.786403  0.000  0.000  0.000  0.000
   0.06913    -20.786388  0.000  0.000  0.000  0.000
   0.09218    -20.786369  0.000  0.000  0.000  0.000
   0.11522    -20.786345  0.000  0.000  0.000  0.000
   0.13827    -20.786318  0.000  0.000  0.000  0.000
   0.16131    -20.786285  0.000  0.000  0.000  0.000
   0.18436    -20.786249  0.000  0.000  0.000  0.000
   0.20740    -20.786211  0.000  0.000  0.000  0.000
   0.23045    -20.786171  0.000  0.000  0.000  0.000
   0.25349    -20.786129  0.000  0.000  0.000  0.000
   0.27654    -20.786087  0.000  0.000  0.000  0.000
   0.29958    -20.786046  0.000  0.000  0.000  0.000
   0.32263    -20.786006  0.000  0.000  0.000  0.000
   0.34567    -20.785969  0.000  0.000  0.000  0.000
   0.36872    -20.785937  0.000  0.000  0.000  0.000
   0.39176    -20.785913  0.000  0.000  0.000  0.000
   0.41481    -20.785897  0.000  0.000  0.000  0.000
   0.43785    -20.785893  0.000  0.000  0.000  0.000
   0.43785    -20.785893  0.000  0.000  0.000  0.000
   0.45116    -20.785891  0.000  0.000  0.000  0.000
   0.46446    -20.785889  0.000  0.000  0.000  0.000
   0.47777    -20.785886  0.000  0.000  0.000  0.000
   0.49107    -20.785883  0.000  0.000  0.000  0.000
   0.50438    -20.785878  0.000  0.000  0.000  0.000
   0.51768    -20.785872  0.000  0.000  0.000  0.000
   0.53099    -20.785865  0.000  0.000  0.000  0.000
   0.54429    -20.785858  0.000  0.000  0.000  0.000
   0.55760    -20.785849  0.000  0.000  0.000  0.000
   0.57090    -20.785841  0.000  0.000  0.000  0.000
   0.58421    -20.785831  0.000  0.000  0.000  0.000
   0.59751    -20.785823  0.000  0.000  0.000  0.000
   0.61082    -20.785815  0.000  0.000  0.000  0.000
   0.62412    -20.785806  0.000  0.000  0.000  0.000
   0.63743    -20.785798  0.000  0.000  0.000  0.000
   0.65073    -20.785790  0.000  0.000  0.000  0.000
   0.66404    -20.785784  0.000  0.000  0.000  0.000
   0.67734    -20.785781  0.000  0.000  0.000  0.000
   0.69065    -20.785780  0.000  0.000  0.000  0.000
   0.69065    -20.785780  0.000  0.000  0.000  0.000
   0.71726    -20.785785  0.000  0.000  0.000  0.000
   0.74387    -20.785801  0.000  0.000  0.000  0.000
   0.77048    -20.785827  0.000  0.000  0.000  0.000
   0.79709    -20.785862  0.000  0.000  0.000  0.000
   0.82370    -20.785904  0.000  0.000  0.000  0.000
   0.85031    -20.785950  0.000  0.000  0.000  0.000
   0.87692    -20.785999  0.000  0.000  0.000  0.000
   0.90353    -20.786052  0.000  0.000  0.000  0.000
   0.93014    -20.786103  0.000  0.000  0.000  0.000
   0.95675    -20.786154  0.000  0.000  0.000  0.000
   0.98336    -20.786201  0.000  0.000  0.000  0.000
   1.00997    -20.786247  0.000  0.000  0.000  0.000
   1.03658    -20.786287  0.000  0.000  0.000  0.000
   1.06319    -20.786324  0.000  0.000  0.000  0.000
   1.08980    -20.786355  0.000  0.000  0.000  0.000
   1.11641    -20.786381  0.000  0.000  0.000  0.000
   1.14302    -20.786399  0.000  0.000  0.000  0.000
   1.16963    -20.786410  0.000  0.000  0.000  0.000
   1.19624    -20.786413  0.000  0.000  0.000  0.000
 
# Band-Index:    2
   1.19624    -20.784865  0.000  0.000  0.000  0.000
   1.16963    -20.784868  0.000  0.000  0.000  0.000
   1.14302    -20.784873  0.000  0.000  0.000  0.000
   1.11641    -20.784883  0.000  0.000  0.000  0.000
   1.08980    -20.784898  0.000  0.000  0.000  0.000
   1.06319    -20.784916  0.000  0.000  0.000  0.000
   1.03658    -20.784938  0.000  0.000  0.000  0.000
   1.00997    -20.784964  0.000  0.000  0.000  0.000
   0.98336    -20.784992  0.000  0.000  0.000  0.000
   0.95675    -20.785024  0.000  0.000  0.000  0.000
   0.93014    -20.785057  0.000  0.000  0.000  0.000
   0.90353    -20.785091  0.000  0.000  0.000  0.000
   0.87692    -20.785128  0.000  0.000  0.000  0.000
   0.85031    -20.785165  0.000  0.000  0.000  0.000
   0.82370    -20.785201  0.000  0.000  0.000  0.000
   0.79709    -20.785234  0.000  0.000  0.000  0.000
   0.77048    -20.785262  0.000  0.000  0.000  0.000
   0.74387    -20.785284  0.000  0.000  0.000  0.000
   0.71726    -20.785296  0.000  0.000  0.000  0.000
   0.69065    -20.785301  0.000  0.000  0.000  0.000
   0.69065    -20.785301  0.000  0.000  0.000  0.000
   0.67734    -20.785300  0.000  0.000  0.000  0.000
