#K-Path          Energy     s    p    d    tot
# NKPTS & NBANDS:  60 176
# Band-Index:    1
   0.00000    -23.335269  0.000  0.000  0.000  0.000
   0.02304    -23.335269  0.000  0.000  0.000  0.000
   0.04609    -23.335268  0.000  0.000  0.000  0.000
   0.06913    -23.335264  0.000  0.000  0.000  0.000
   0.09218    -23.335260  0.000  0.000  0.000  0.000
   0.11522    -23.335256  0.000  0.000  0.000  0.000
   0.13827    -23.335251  0.000  0.000  0.000  0.000
   0.16131    -23.335244  0.000  0.000  0.000  0.000
   0.18436    -23.335239  0.000  0.000  0.000  0.000
   0.20740    -23.335232  0.000  0.000  0.000  0.000
   0.23045    -23.335226  0.000  0.000  0.000  0.000
   0.25349    -23.335219  0.000  0.000  0.000  0.000
   0.27654    -23.335213  0.000  0.000  0.000  0.000
   0.29958    -23.335208  0.000  0.000  0.000  0.000
   0.32263    -23.335202  0.000  0.000  0.000  0.000
   0.34567    -23.335198  0.000  0.000  0.000  0.000
   0.36872    -23.335194  0.000  0.000  0.000  0.000
   0.39176    -23.335191  0.000  0.000  0.000  0.000
   0.41481    -23.335189  0.000  0.000  0.000  0.000
   0.43785    -23.335189  0.000  0.000  0.000  0.000
   0.43785    -23.335189  0.000  0.000  0.000  0.000
   0.45116    -23.335188  0.000  0.000  0.000  0.000
   0.46446    -23.335188  0.000  0.000  0.000  0.000
   0.47777    -23.335187  0.000  0.000  0.000  0.000
   0.49107    -23.335188  0.000  0.000  0.000  0.000
   0.50438    -23.335188  0.000  0.000  0.000  0.000
   0.51768    -23.335187  0.000  0.000  0.000  0.000
   0.53099    -23.335187  0.000  0.000  0.000  0.000
   0.54429    -23.335186  0.000  0.000  0.000  0.000
   0.55760    -23.335185  0.000  0.000  0.000  0.000
   0.57090    -23.335185  0.000  0.000  0.000  0.000
   0.58421    -23.335184  0.000  0.000  0.000  0.000
   0.59751    -23.335184  0.000  0.000  0.000  0.000
   0.61082    -23.335184  0.000  0.000  0.000  0.000
   0.62412    -23.335183  0.000  0.000  0.000  0.000
   0.63743    -23.335182  0.000  0.000  0.000  0.000
   0.65073    -23.335181  0.000  0.000  0.000  0.000
   0.66404    -23.335180  0.000  0.000  0.000  0.000
   0.67734    -23.335180  0.000  0.000  0.000  0.000
   0.69065    -23.335180  0.000  0.000  0.000  0.000
   0.69065    -23.335180  0.000  0.000  0.000  0.000
   0.71726    -23.335180  0.000  0.000  0.000  0.000
   0.74387    -23.335182  0.000  0.000  0.000  0.000
   0.77048    -23.335183  0.000  0.000  0.000  0.000
   0.79709    -23.335187  0.000  0.000  0.000  0.000
   0.82370    -23.335191  0.000  0.000  0.000  0.000
   0.85031    -23.335195  0.000  0.000  0.000  0.000
   0.87692    -23.335201  0.000  0.000  0.000  0.000
   0.90353    -23.335208  0.000  0.000  0.000  0.000
   0.93014    -23.335216  0.000  0.000  0.000  0.000
   0.95675    -23.335224  0.000  0.000  0.000  0.000
   0.98336    -23.335230  0.000  0.000  0.000  0.000
   1.00997    -23.335239  0.000  0.000  0.000  0.000
   1.03658    -23.335245  0.000  0.000  0.000  0.000
   1.06319    -23.335252  0.000  0.000  0.000  0.000
   1.08980    -23.335258  0.000  0.000  0.000  0.000
   1.11641    -23.335263  0.000  0.000  0.000  0.000
   1.14302    -23.335266  0.000  0.000  0.000  0.000
   1.16963    -23.335269  0.000  0.000  0.000  0.000
   1.19624    -23.335269  0.000  0.000  0.000  0.000
 
# Band-Index:    2
   1.19624    -23.334961  0.000  0.000  0.000  0.000
   1.16963    -23.334961  0.000  0.000  0.000  0.000
   1.14302    -23.334958  0.000  0.000  0.000  0.000
   1.11641    -23.334955  0.000  0.000  0.000  0.000
   1.08980    -23.334950  0.000  0.000  0.000  0.000
   1.06319    -23.334944  0.000  0.000  0.000  0.000
   1.03658    -23.334937  0.000  0.000  0.000  0.000
   1.00997    -23.334931  0.000  0.000  0.000  0.000
   0.98336    -23.334922  0.000  0.000  0.000  0.000
   0.95675    -23.334916  0.000  0.000  0.000  0.000
   0.93014    -23.334908  0.000  0.000  0.000  0.000
   0.90353    -23.334900  0.000  0.000  0.000  0.000
   0.87692    -23.334892  0.000  0.000  0.000  0.000
   0.85031    -23.334887  0.000  0.000  0.000  0.000
   0.82370    -23.334882  0.000  0.000  0.000  0.000
   0.79709    -23.334878  0.000  0.000  0.000  0.000
   0.77048    -23.334875  0.000  0.000  0.000  0.000
   0.74387    -23.334873  0.000  0.000  0.000  0.000
   0.71726    -23.334872  0.000  0.000  0.000  0.000
   0.69065    -23.334872  0.000  0.000  0.000  0.000
   0.69065    -23.334872  0.000  0.000  0.000  0.000
   0.67734    -23.334872  0.000  0.000  0.000  0.000
   0.66404    -23.334872  0.000  0.000  0.000  0.000
   0.65073    -23.334873  0.000  0.000  0.000  0.000
   0.63743    -23.334874  0.000  0.000  0.000  0.000
   0.62412    -23.334875  0.000  0.000  0.000  0.000
   0.61082    -23.334876  0.000  0.000  0.000  0.000
   0.59751    -23.334876  0.000  0.000  0.000  0.000
   0.58421    -23.334876  0.000  0.000  0.000  0.000
   0.57090    -23.334877  0.000  0.000  0.000  0.000
   0.55760    -23.334877  0.000  0.000  0.000  0.000
   0.54429    -23.334878  0.000  0.000  0.000  0.000
   0.53099    -23.334879  0.000  0.000  0.000  0.000
   0.51768    -23.334879  0.000  0.000  0.000  0.000
   0.50438    -23.334880  0.000  0.000  0.000  0.000
   0.49107    -23.334880  0.000  0.000  0.000  0.000
   0.47777    -23.334879  0.000  0.000  0.000  0.000
   0.46446    -23.334879  0.000  0.000  0.000  0.000
   0.45116    -23.334880  0.000  0.000  0.000  0.000
   0.43785    -23.334881  0.000  0.000  0.000  0.000
   0.43785    -23.334881  0.000  0.000  0.000  0.000
   0.41481    -23.334881  0.000  0.000  0.000  0.000
   0.39176    -23.334883  0.000  0.000  0.000  0.000
   0.36872    -23.334886  0.000  0.000  0.000  0.000
   0.34567    -23.334890  0.000  0.000  0.000  0.000
   0.32263    -23.334894  0.000  0.000  0.000  0.000
   0.29958    -23.334900  0.000  0.000  0.000  0.000
   0.27654    -23.334905  0.000  0.000  0.000  0.000
   0.25349    -23.334911  0.000  0.000  0.000  0.000
   0.23045    -23.334918  0.000  0.000  0.000  0.000
   0.20740    -23.334924  0.000  0.000  0.000  0.000
   0.18436    -23.334931  0.000  0.000  0.000  0.000
   0.16131    -23.334936  0.000  0.000  0.000  0.000
   0.13827    -23.334943  0.000  0.000  0.000  0.000
   0.11522    -23.334948  0.000  0.000  0.000  0.000
   0.09218    -23.334952  0.000  0.000  0.000  0.000
   0.06913    -23.334956  0.000  0.000  0.000  0.000
   0.04609    -23.334960  0.000  0.000  0.000  0.000
   0.02304    -23.334961  0.000  0.000  0.000  0.000
   0.00000    -23.334961  0.000  0.000  0.000  0.000
 
# Band-Index:    3
   0.00000    -23.242189  0.000  0.000  0.000  0.000
   0.02304    -23.242187  0.000  0.000  0.000  0.000
   0.04609    -23.242182  0.000  0.000  0.000  0.000
   0.06913    -23.242171  0.000  0.000  0.000  0.000
   0.09218    -23.242157  0.000  0.000  0.000  0.000
   0.11522    -23.242141  0.000  0.000  0.000  0.000
   0.13827    -23.242122  0.000  0.000  0.000  0.000
   0.16131    -23.242100  0.000  0.000  0.000  0.000
   0.18436    -23.242078  0.000  0.000  0.000  0.000
   0.20740    -23.242055  0.000  0.000  0.000  0.000
   0.23045    -23.242032  0.000  0.000  0.000  0.000
   0.25349    -23.242010  0.000  0.000  0.000  0.000
   0.27654    -23.241988  0.000  0.000  0.000  0.000
   0.29958    -23.241969  0.000  0.000  0.000  0.000
   0.32263    -23.241951  0.000  0.000  0.000  0.000
   0.34567    -23.241936  0.000  0.000  0.000  0.000
   0.36872    -23.241924  0.000  0.000  0.000  0.000
   0.39176    -23.241915  0.000  0.000  0.000  0.000
   0.41481    -23.241909  0.000  0.000  0.000  0.000
   0.43785    -23.241909  0.000  0.000  0.000  0.000
   0.43785    -23.241909  0.000  0.000  0.000  0.000
   0.45116    -23.241908  0.000  0.000  0.000  0.000
   0.46446    -23.241907  0.000  0.000  0.000  0.000
   0.47777    -23.241906  0.000  0.000  0.000  0.000
   0.49107    -23.241906  0.000  0.000  0.000  0.000
   0.50438    -23.241905  0.000  0.000  0.000  0.000
   0.51768    -23.241903  0.000  0.000  0.000  0.000
   0.53099    -23.241902  0.000  0.000  0.000  0.000
   0.54429    -23.241900  0.000  0.000  0.000  0.000
   0.55760    -23.241898  0.000  0.000  0.000  0.000
   0.57090    -23.241896  0.000  0.000  0.000  0.000
   0.58421    -23.241894  0.000  0.000  0.000  0.000
   0.59751    -23.241893  0.000  0.000  0.000  0.000
   0.61082    -23.241891  0.000  0.000  0.000  0.000
   0.62412    -23.241889  0.000  0.000  0.000  0.000
   0.63743    -23.241887  0.000  0.000  0.000  0.000
   0.65073    -23.241885  0.000  0.000  0.000  0.000
   0.66404    -23.241883  0.000  0.000  0.000  0.000
   0.67734    -23.241883  0.000  0.000  0.000  0.000
   0.69065    -23.241882  0.000  0.000  0.000  0.000
   0.69065    -23.241882  0.000  0.000  0.000  0.000
   0.71726    -23.241883  0.000  0.000  0.000  0.000
   0.74387    -23.241887  0.000  0.000  0.000  0.000
   0.77048    -23.241893  0.000  0.000  0.000  0.000
   0.79709    -23.241902  0.000  0.000  0.000  0.000
   0.82370    -23.241915  0.000  0.000  0.000  0.000
   0.85031    -23.241931  0.000  0.000  0.000  0.000
   0.87692    -23.241949  0.000  0.000  0.000  0.000
   0.90353    -23.241972  0.000  0.000  0.000  0.000
   0.93014    -23.241997  0.000  0.000  0.000  0.000
   0.95675    -23.242023  0.000  0.000  0.000  0.000
   0.98336    -23.242049  0.000  0.000  0.000  0.000
   1.00997    -23.242077  0.000  0.000  0.000  0.000
   1.03658    -23.242102  0.000  0.000  0.000  0.000
   1.06319    -23.242126  0.000  0.000  0.000  0.000
   1.08980    -23.242147  0.000  0.000  0.000  0.000
   1.11641    -23.242165  0.000  0.000  0.000  0.000
   1.14302    -23.242179  0.000  0.000  0.000  0.000
   1.16963    -23.242187  0.000  0.000  0.000  0.000
   1.19624    -23.242189  0.000  0.000  0.000  0.000
 
# Band-Index:    4
   1.19624    -23.241060  0.000  0.000  0.000  0.000
   1.16963    -23.241060  0.000  0.000  0.000  0.000
   1.14302    -23.241056  0.000  0.000  0.000  0.000
   1.11641    -23.241051  0.000  0.000  0.000  0.000
   1.08980    -23.241043  0.000  0.000  0.000  0.000
   1.06319    -23.241034  0.000  0.000  0.000  0.000
   1.03658    -23.241024  0.000  0.000  0.000  0.000
   1.00997    -23.241012  0.000  0.000  0.000  0.000
   0.98336    -23.240997  0.000  0.000  0.000  0.000
   0.95675    -23.240984  0.000  0.000  0.000  0.000
   0.93014    -23.240969  0.000  0.000  0.000  0.000
   0.90353    -23.240953  0.000  0.000  0.000  0.000
   0.87692    -23.240938  0.000  0.000  0.000  0.000
   0.85031    -23.240925  0.000  0.000  0.000  0.000
   0.82370    -23.240914  0.000  0.000  0.000  0.000
   0.79709    -23.240904  0.000  0.000  0.000  0.000
   0.77048    -23.240896  0.000  0.000  0.000  0.000
   0.74387    -23.240890  0.000  0.000  0.000  0.000
   0.71726    -23.240886  0.000  0.000  0.000  0.000
