#K-Path     Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# Band-Index:    1
   0.000   -21.280  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.028   -21.280  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.056   -21.280  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.085   -21.280  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.113   -21.280  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.141   -21.280  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.169   -21.280  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.198   -21.280  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.226   -21.280  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.254   -21.280  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.282   -21.280  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.310   -21.280  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.339   -21.280  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.367   -21.279  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.395   -21.279  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.423   -21.279  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.452   -21.279  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.480   -21.279  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.508   -21.279  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.536   -21.279  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.536   -21.279  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.564   -21.279  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.593   -21.279  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.621   -21.279  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.649   -21.279  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.677   -21.279  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.706   -21.279  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.734   -21.279  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.762   -21.279  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.790   -21.279  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.819   -21.279  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.847   -21.279  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.875   -21.279  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.903   -21.279  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.931   -21.279  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.960   -21.278  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.988   -21.278  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.016   -21.278  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
